id,date,code,payment_method,items,total,total_qty,raw_data
1,01/05/2025,INV-20250501-9870,cash,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
2,25/04/2025,INV-20250425-5584,transfer,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
3,27/04/2025,INV-20250427-1761,e-wallet,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
4,02/04/2025,INV-20250402-7681,e-wallet,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
5,15/05/2025,INV-20250515-5159,credit card,Atap spandek 0.35 mm x 6m,330000,1,"{""Atap spandek 0.35 mm x 6m"":""1x330000""}"
6,24/04/2025,INV-20250424-8081,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
7,20/05/2025,INV-20250520-8875,transfer,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
8,09/05/2025,INV-20250509-9852,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
9,21/04/2025,INV-20250421-5963,credit card,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
10,09/04/2025,INV-20250409-8320,transfer,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
11,19/05/2025,INV-20250519-2776,e-wallet,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
12,03/05/2025,INV-20250503-5096,credit card,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
13,12/04/2025,INV-20250412-3596,cash,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
14,11/05/2025,INV-20250511-8917,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
15,21/04/2025,INV-20250421-5756,e-wallet,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
16,13/05/2025,INV-20250513-8449,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
17,22/04/2025,INV-20250422-4519,e-wallet,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
18,16/05/2025,INV-20250516-4211,cash,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
19,02/04/2025,INV-20250402-5379,transfer,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
20,09/05/2025,INV-20250509-6276,e-wallet,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
21,01/04/2025,INV-20250401-2898,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
22,04/05/2025,INV-20250504-6513,credit card,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
23,11/05/2025,INV-20250511-4582,e-wallet,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
24,15/04/2025,INV-20250415-2882,credit card,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
25,15/04/2025,INV-20250415-8943,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
26,01/05/2025,INV-20250501-5550,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
27,04/05/2025,INV-20250504-9409,transfer,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
28,08/04/2025,INV-20250408-2676,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
29,15/05/2025,INV-20250515-7582,transfer,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
